"Table 4: Components of population change by administrative area, mid-2018 to mid-2019",,,,,,,,,,,
,,,,,,,,,,,
"Area code1,2",Area name,"Estimated population
30 June 2018",Births,Deaths,Natural change,Estimated net civilian migration3,Other changes4,"Estimated population
30 June 2019",,Population change,
S08000017,Dumfries and Galloway,"148,790","1,149","1,839",-690,730,30,"148,860",,70,0.0
S08000029,Fife,"371,910","3,411","4,004",-593,"2,300",-67,"373,550",,"1,640",0.4
S08000019,Forth Valley,"306,070","2,646","3,204",-558,960,168,"306,640",,570,0.2
S08000020,Grampian,"584,550","5,726","5,509",217,730,203,"585,700",,"1,150",0.2
S08000031,Greater Glasgow and Clyde,"1,174,980","11,670","12,184",-514,"8,600",54,"1,183,120",,"8,140",0.7
S08000022,Highland,"321,800","2,599","3,673","-1,074",910,64,"321,700",,-100,0.0
S08000032,Lanarkshire,"659,200","6,561","6,895",-334,"3,060",-26,"661,900",,"2,700",0.4
S08000024,Lothian,"897,770","8,635","7,686",949,"8,830",31,"907,580",,"9,810",1.1
S08000025,Orkney,"22,190",186,243,-57,150,-13,"22,270",,80,0.4
S08000026,Shetland,"22,990",214,179,35,-90,-15,"22,920",,-70,-0.3
S08000030,Tayside,"416,080","3,626","4,633","-1,007","2,350",47,"417,470",,"1,390",0.3
S08000028,Western Isles,"26,830",189,341,-152,50,-8,"26,720",,-110,-0.4
,,,,,,,,,,,
Footnotes,,,,,,,,,,,
1) Area codes refer to the 2019 Council areas and 2019 NHS Board areas. ,,,,,,,,,,,
"2) Population estimates for mid-2018 are based on the 2018 Council areas and NHS Board areas, whereas mid-2019 population estimates are based on the 2019 Council areas and NHS Board areas. The 2019 areas differ from the previous areas due to a boundary change at Cardowan by Stepps, between Glasgow and North Lanarkshire council areas (Greater Glasgow and Clyde and Lanarkshire health board areas). The boundary change resulted in approximately 400 people transferring from Glasgow to North Lanarkshire. These moves have been accounted for as migration within Scotland.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"3) Estimated net civilian migration includes movements within Scotland, the rest of the UK and overseas. Moves to and from armed forces are included in 'other changes'. Net migration totals have been rounded to the nearest ten at administrative area level, and the nearest hundred at national level. This may result in the sum of administrative area data differing from the national totals.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"4) Includes changes in the number of prisoners, armed forces stationed in Scotland and a rounding adjustment.",,,,,,,,,,,
,,,,,,,,,,,
© Crown copyright 2020,,,,,,,,,,,
,,,,,,,,,,,
