"Table 6: Components of population change by administrative area, mid-2009 to mid-2019",,,,,,,,,,,
,,,,,,,,,,,
"Area code1,2",Area name,"Estimated population
30 June 2009",Births,Deaths,Natural change,Estimated net civilian migration3,Other changes4,"Estimated population
30 June 2019",,Population change,
S12000040,West Lothian,"173,040","20,087","15,009","5,078","4,720",262,"183,100",,"10,060",5.8
,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,
S08000015,Ayrshire and Arran,"372,430","35,690","44,382","-8,692","4,930",692,"369,360",,"-3,070",-0.8
S08000016,Borders,"113,590","10,657","13,011","-2,354","4,620",-346,"115,510",,"1,920",1.7
S08000017,Dumfries and Galloway,"151,160","13,201","18,698","-5,497","2,850",347,"148,860",,"-2,300",-1.5
S08000029,Fife,"361,420","38,398","39,026",-628,"13,370",-612,"373,550",,"12,130",3.4
S08000019,Forth Valley,"294,190","30,321","30,044",277,"13,140",-967,"306,640",,"12,450",4.2
S08000020,Grampian,"559,200","61,916","54,289","7,627","18,610",263,"585,700",,"26,500",4.7
S08000031,Greater Glasgow and Clyde,"1,122,330","125,275","123,506","1,769","56,340","2,681","1,183,120",,"60,790",5.4
S08000022,Highland,"318,200","29,418","35,190","-5,772","7,470","1,802","321,700",,"3,500",1.1
S08000032,Lanarkshire,"647,340","70,222","69,016","1,206","11,840","1,514","661,900",,"14,560",2.2
S08000024,Lothian,"816,510","94,328","76,443","17,885","77,040","-3,855","907,580",,"91,070",11.2
S08000025,Orkney,"20,940","1,912","2,266",-354,"1,440",244,"22,270",,"1,330",6.4
S08000026,Shetland,"22,800","2,490","2,201",289,-300,131,"22,920",,120,0.5
S08000030,Tayside,"404,370","40,398","46,114","-5,716","19,640",-824,"417,470",,"13,100",3.2
S08000028,Western Isles,"27,420","2,263","3,555","-1,292",250,342,"26,720",,-700,-2.6
,,,,,,,,,,,
Footnotes,,,,,,,,,,,
1) Area codes refer to the 2019 Council areas and 2019 NHS Board areas. ,,,,,,,,,,,
"2) Population estimates for mid-2009 are based on the 2011 Council areas and 2014 NHS Board areas, whereas mid-2019 population estimates are based on the 2019 Council areas and NHS Board areas. The 2019 areas differ from the previous areas due to a boundary change at Cardowan by Stepps, between Glasgow and North Lanarkshire council areas (Greater Glasgow and Clyde and Lanarkshire health board areas). The boundary change resulted in approximately 400 people transferring from Glasgow to North Lanarkshire. These moves have been accounted for as migration within Scotland.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"3) Estimated net civilian migration includes movements within Scotland, the rest of the UK and overseas. Moves to and from armed forces are included in 'other changes'. Net migration totals have been rounded to the nearest ten at administrative area level, and the nearest hundred at national level. This may result in the sum of administrative area data differing from the national totals.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"4) Includes changes in the number of prisoners, armed forces stationed in Scotland, unattributable changes between mid-2009 and mid-2011 and a rounding adjustment.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
© Crown copyright 2020,,,,,,,,,,,
,,,,,,,,,,,
