"Table 7: Age and sex structure of administrative areas, mid-2019",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Persons,,,,,Males,,,,,Females,,,,,
S12000018,Inverclyde,46.2,16%,63%,21%,,43.9,18%,64%,19%,,48.0,15%,62%,23%,,0.92
S12000019,Midlothian,41.6,19%,62%,18%,,40.6,20%,62%,17%,,42.5,18%,62%,19%,,0.93
S12000020,Moray,45.3,17%,62%,21%,,43.8,17%,63%,19%,,46.8,16%,61%,23%,,0.98
S12000013,Na h-Eileanan Siar,49.5,16%,59%,25%,,48.7,17%,60%,23%,,50.3,15%,58%,27%,,0.98
S12000021,North Ayrshire,46.7,17%,61%,22%,,45.2,18%,61%,21%,,47.9,16%,61%,23%,,0.91
S12000050,North Lanarkshire,41.5,18%,65%,17%,,40.1,19%,65%,15%,,42.9,17%,64%,18%,,0.94
S12000023,Orkney Islands,48.0,16%,61%,23%,,47.4,17%,61%,22%,,48.5,15%,60%,24%,,0.99
S12000048,Perth and Kinross,47.0,16%,61%,23%,,45.4,17%,62%,22%,,48.3,15%,60%,25%,,0.97
S12000038,Renfrewshire,42.9,17%,65%,18%,,40.9,18%,65%,17%,,44.6,16%,64%,20%,,0.94
S12000026,Scottish Borders,49.1,16%,59%,24%,,48.5,17%,60%,23%,,49.5,16%,59%,25%,,0.95
S12000027,Shetland Islands,44.2,18%,62%,20%,,43.3,19%,62%,19%,,45.2,18%,61%,21%,,1.04
S12000028,South Ayrshire,49.0,16%,59%,25%,,47.7,17%,60%,24%,,50.0,15%,59%,26%,,0.91
S12000029,South Lanarkshire,44.2,17%,64%,19%,,42.9,18%,64%,18%,,45.4,16%,63%,20%,,0.94
S12000030,Stirling,42.3,16%,65%,19%,,41.1,17%,65%,18%,,43.3,15%,65%,20%,,0.93
S12000039,West Dunbartonshire,43.3,18%,64%,18%,,41.2,19%,64%,17%,,45.1,16%,64%,20%,,0.92
S12000040,West Lothian,41.0,19%,64%,16%,,39.9,20%,65%,15%,,42.1,18%,64%,17%,,0.97
,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,
S08000015,Ayrshire and Arran,46.8,17%,61%,22%,,45.4,18%,61%,21%,,47.9,16%,61%,23%,,0.92
S08000016,Borders,49.1,16%,59%,24%,,48.5,17%,60%,23%,,49.5,16%,59%,25%,,0.95
S08000017,Dumfries and Galloway,49.6,16%,59%,25%,,48.8,16%,59%,24%,,50.4,15%,59%,26%,,0.95
S08000029,Fife,43.8,17%,63%,20%,,42.6,18%,63%,19%,,44.9,16%,62%,21%,,0.94
S08000019,Forth Valley,43.4,17%,64%,19%,,42.2,18%,64%,18%,,44.5,16%,64%,20%,,0.95
S08000020,Grampian,41.4,17%,65%,18%,,40.3,18%,66%,17%,,42.6,17%,64%,19%,,0.99
S08000031,Greater Glasgow and Clyde,39.0,17%,67%,16%,,37.4,18%,68%,14%,,40.6,16%,66%,18%,,0.94
S08000022,Highland,47.5,16%,61%,23%,,46.0,17%,62%,21%,,48.7,15%,60%,24%,,0.97
S08000032,Lanarkshire,42.8,18%,64%,18%,,41.4,19%,65%,16%,,44.1,17%,64%,19%,,0.94
S08000024,Lothian,38.6,17%,67%,16%,,37.9,18%,68%,15%,,39.3,16%,67%,17%,,0.95
S08000025,Orkney,48.0,16%,61%,23%,,47.4,17%,61%,22%,,48.5,15%,60%,24%,,0.99
S08000026,Shetland,44.2,18%,62%,20%,,43.3,19%,62%,19%,,45.2,18%,61%,21%,,1.04
S08000030,Tayside,43.6,16%,63%,21%,,41.8,17%,64%,19%,,45.2,15%,62%,23%,,0.95
S08000028,Western Isles,49.5,16%,59%,25%,,48.7,17%,60%,23%,,50.3,15%,58%,27%,,0.98
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
"1) 2019 Council areas and 2019 NHS Board areas. The 2019 areas differ from the previous areas due to a boundary change at Cardowan by Stepps, between Glasgow and North Lanarkshire council areas (Greater Glasgow and Clyde and Lanarkshire health board areas). The boundary change resulted in approximately 400 people transferring from Glasgow to North Lanarkshire. These moves have been accounted for as migration within Scotland.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2) Working age at 30 June 2019 is defined as people aged 16 to approximately 65 years and 145 days.,,,,,,,,,,,,,,,,,
3) Pensionable age at 30 June 2019 was approximately 65 years and 146 days.,,,,,,,,,,,,,,,,,
4) The sex ratio is the male population divided by the female population.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,
